"index","name","type","texture","position","scale","parent"
"39","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","36"
"40","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","36"
"41","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","36"
"42","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","36"
"43","4_0_0_1_0_1","4","","System.Object[]","System.Object[]","35"
"44","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","43"
"45","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","43"
"46","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","43"
"47","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","43"
"48","4_0_0_1_0_2","4","","System.Object[]","System.Object[]","35"
"49","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","48"
"50","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","48"
"51","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","48"
"52","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","48"
"53","4_0_0_1_0_3","4","","System.Object[]","System.Object[]","35"
"54","percent","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","53"
"55","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","53"
"56","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","53"
"57","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","53"
"58","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","53"
"59","4_0_0_1_0_4","4","","System.Object[]","System.Object[]","35"
"60","percent","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","59"
"61","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","59"
"62","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","59"
"63","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","59"
"64","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","59"
"65","mask","5","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","32"
"66","4_0_0_2","4","","System.Object[]","System.Object[]","21"
"67","Lv","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","66"
"68","Suji","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","66"
"69","Suji","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","66"
"70","MAX","2","id\texture\jpn\common\common_008_ID_HQ","System.Object[]","System.Object[]","66"
"71","4_0_1","4","","System.Object[]","System.Object[]","20"
"72","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"73","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"74","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"75","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"76","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"77","Sougu_K","3","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","71"
"78","4_0_1_0","4","","System.Object[]","System.Object[]","71"
"79","Waku","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","78"
"80","Waku","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","78"
"81","Waku","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","78"
"82","4_0_2","4","","System.Object[]","System.Object[]","20"
"83","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","82"
"84","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","82"
"85","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","82"
"86","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","82"
"87","4_0_3","4","","System.Object[]","System.Object[]","20"
"88","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"89","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"90","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"91","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"92","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"93","Sougu","2","id\dummy_BM","System.Object[]","System.Object[]","87"
"94","4_0_4","4","","System.Object[]","System.Object[]","20"
"95","CursorR","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","94"
"96","CursorG","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","94"
"97","4_1","4","","System.Object[]","System.Object[]","19"
"98","4_1_0","4","","System.Object[]","System.Object[]","97"
"99","4_1_0_0","4","","System.Object[]","System.Object[]","98"
"100","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","99"
"101","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","99"
"102","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","99"
"103","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","99"
"104","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","99"
"105","4_1_1","4","","System.Object[]","System.Object[]","97"
"106","4_1_1_0","4","","System.Object[]","System.Object[]","105"
"107","Wep_K","2","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","106"
"108","Wep","2","id\dummy_BM","System.Object[]","System.Object[]","106"
"109","Zokusei","2","id\texture\jpn\common\common_008_ID_HQ","System.Object[]","System.Object[]","106"
"110","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","106"
"111","Menuk_K","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","106"
"112","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","106"
"113","4_1_1_0_0","4","","System.Object[]","System.Object[]","106"
"114","Wep_K_p","2","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","113"
"115","Wep_text","2","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","113"
"116","4_1_1_0_0_0","4","","System.Object[]","System.Object[]","113"
"117","4_1_1_0_0_0_0","4","","System.Object[]","System.Object[]","116"
"118","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","117"
"119","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","117"
"120","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","117"
"121","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","117"
"122","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","117"
"123","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","117"
"124","4_1_1_0_0_0_1","4","","System.Object[]","System.Object[]","116"
"125","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","124"
"126","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","124"
"127","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","124"
"128","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","124"
"129","4_1_1_0_0_0_2","4","","System.Object[]","System.Object[]","116"
"130","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","129"
"131","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","129"
"132","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","129"
"133","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","129"
"134","4_1_1_0_0_0_3","4","","System.Object[]","System.Object[]","116"
"135","percent","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","134"
"136","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","134"
"137","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","134"
"138","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","134"
"139","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","134"
"140","4_1_1_0_0_0_4","4","","System.Object[]","System.Object[]","116"
"141","percent","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","140"
"142","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","140"
"143","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","140"
"144","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","140"
"145","Suji","2","id\texture\jpn\tenka\tenka_009_ID_HQ","System.Object[]","System.Object[]","140"
"146","mask","5","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","113"
"147","4_1_1_0_1","4","","System.Object[]","System.Object[]","106"
"148","Lv","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","147"
"149","Suji","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","147"
"150","Suji","2","id\texture\jpn\common\common_015_ID_HQ","System.Object[]","System.Object[]","147"
"151","MAX","2","id\texture\jpn\common\common_008_ID_HQ","System.Object[]","System.Object[]","147"
"152","4_1_1_1","4","","System.Object[]","System.Object[]","105"
"153","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"154","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"155","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"156","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"157","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"158","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","152"
"159","4_1_1_2","4","","System.Object[]","System.Object[]","105"
"160","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","159"
"161","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","159"
"162","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","159"
"163","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","159"
"164","4_1_1_3","4","","System.Object[]","System.Object[]","105"
"165","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"166","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"167","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"168","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"169","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"170","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","164"
"171","4_1_1_4","4","","System.Object[]","System.Object[]","105"
"172","Waku_la","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","171"
"173","Waku_lb","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","171"
"174","Waku_lc","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","171"
"175","4_2","4","","System.Object[]","System.Object[]","19"
"176","4_2_0","4","","System.Object[]","System.Object[]","175"
"177","4_2_0_0","4","","System.Object[]","System.Object[]","176"
"178","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","177"
"179","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","177"
"180","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","177"
"181","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","177"
"182","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","177"
"183","4_2_0_1","4","","System.Object[]","System.Object[]","176"
"184","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","183"
"185","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","183"
"186","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","183"
"187","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","183"
"188","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","183"
"189","4_2_0_2","4","","System.Object[]","System.Object[]","176"
"190","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","189"
"191","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","189"
"192","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","189"
"193","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","189"
"194","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","189"
"195","4_2_0_3","4","","System.Object[]","System.Object[]","176"
"196","CursorR","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","195"
"197","4_2_1","4","","System.Object[]","System.Object[]","175"
"198","Tama_K","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","197"
"199","4_2_1_0","4","","System.Object[]","System.Object[]","197"
"200","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","199"
"201","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","199"
"202","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","199"
"203","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","199"
"204","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","199"
"205","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","199"
"206","4_2_1_1","4","","System.Object[]","System.Object[]","197"
"207","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","206"
"208","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","206"
"209","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","206"
"210","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","206"
"211","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","206"
"212","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","206"
"213","4_2_1_2","4","","System.Object[]","System.Object[]","197"
"214","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","213"
"215","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","213"
"216","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","213"
"217","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","213"
"218","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","213"
"219","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","213"
"220","4_2_1_3","4","","System.Object[]","System.Object[]","197"
"221","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","220"
"222","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","220"
"223","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","220"
"224","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","220"
"225","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","220"
"226","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","220"
"227","4_2_1_4","4","","System.Object[]","System.Object[]","197"
"228","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","227"
"229","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","227"
"230","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","227"
"231","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","227"
"232","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","227"
"233","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","227"
"234","4_2_1_5","4","","System.Object[]","System.Object[]","197"
"235","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","234"
"236","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","234"
"237","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","234"
"238","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","234"
"239","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","234"
"240","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","234"
"241","4_2_2","4","","System.Object[]","System.Object[]","175"
"242","Tama_K","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","241"
"243","4_2_2_0","4","","System.Object[]","System.Object[]","241"
"244","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","243"
"245","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","243"
"246","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","243"
"247","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","243"
"248","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","243"
"249","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","243"
"250","4_2_2_1","4","","System.Object[]","System.Object[]","241"
"251","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","250"
"252","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","250"
"253","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","250"
"254","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","250"
"255","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","250"
"256","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","250"
"257","4_2_2_2","4","","System.Object[]","System.Object[]","241"
"258","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","257"
"259","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","257"
"260","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","257"
"261","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","257"
"262","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","257"
"263","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","257"
"264","4_2_2_3","4","","System.Object[]","System.Object[]","241"
"265","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","264"
"266","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","264"
"267","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","264"
"268","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","264"
"269","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","264"
"270","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","264"
"271","4_2_2_4","4","","System.Object[]","System.Object[]","241"
"272","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","271"
"273","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","271"
"274","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","271"
"275","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","271"
"276","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","271"
"277","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","271"
"278","4_2_2_5","4","","System.Object[]","System.Object[]","241"
"279","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","278"
"280","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","278"
"281","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","278"
"282","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","278"
"283","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","278"
"284","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","278"
"285","4_2_3","4","","System.Object[]","System.Object[]","175"
"286","Tama_K","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","285"
"287","4_2_3_0","4","","System.Object[]","System.Object[]","285"
"288","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","287"
"289","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","287"
"290","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","287"
"291","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","287"
"292","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","287"
"293","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","287"
"294","4_2_3_1","4","","System.Object[]","System.Object[]","285"
"295","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","294"
"296","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","294"
"297","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","294"
"298","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","294"
"299","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","294"
"300","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","294"
"301","4_2_3_2","4","","System.Object[]","System.Object[]","285"
"302","menuki","2","id\dummy_BM","System.Object[]","System.Object[]","301"
"303","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","301"
"304","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","301"
"305","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","301"
"306","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","301"
"307","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","301"
"308","4_2_3_3","4","","System.Object[]","System.Object[]","285"
"309","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","308"
"310","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","308"
"311","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","308"
"312","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","308"
"313","Ball_B","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","308"
"314","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","308"
