== PS3_GAME/USRDIR/nativePS3/rom/eng/title.arc  entries=357  endian=> version=8
  [  61] effect\e2d\idc\idc008  type=0x276DE8B7 comp=410 raw=3552
  [  62] effect\e2d\idc\idc009  type=0x276DE8B7 comp=324 raw=3328
  [  63] effect\e2d\idc\idc010  type=0x276DE8B7 comp=399 raw=4288
  [  64] effect\e2d\idc\idc011  type=0x276DE8B7 comp=403 raw=4288
  [  65] effect\e2d\idc\idc012  type=0x276DE8B7 comp=542 raw=4608
  [  66] effect\e2d\idc\idc013  type=0x276DE8B7 comp=464 raw=4928
  [  67] effect\e2d\idc\idc014  type=0x276DE8B7 comp=367 raw=3648
  [  68] effect\e2d\idc\idc015  type=0x276DE8B7 comp=419 raw=3328
  [  69] effect\e2d\idc\idc016  type=0x276DE8B7 comp=153 raw=1024
  [  70] effect\e2d\idc\idc017  type=0x276DE8B7 comp=326 raw=2368
  [  71] effect\e2d\idc\idc018  type=0x276DE8B7 comp=412 raw=4288
  [  72] effect\e2d\idc\idc019  type=0x276DE8B7 comp=414 raw=3904
  [  73] effect\e2d\idc\idc020  type=0x276DE8B7 comp=579 raw=4672
  [  74] effect\xls\efl_IDC00  type=0x76042FD2 comp=162 raw=650
  [  75] stage\msel\sdl\stage  type=0x4C0DB839 comp=35 raw=53
  [  76] stage\msel\msel-t-backcol_BM_NOMIP  type=0x241F5DEB comp=94 raw=16404
  [  77] stage\msel\msel-m-back  type=0x58A15856 comp=1852 raw=13520
  [  78] stage\msel\tsa\msel_msel  type=0x255926EF comp=3999 raw=23664
  [  79] stage\msel\msel-t-hilight_BM_NOMIP  type=0x241F5DEB comp=26846 raw=65556
  [  80] stage\msel\msel-t-backmon_AM_NOMIP  type=0x241F5DEB comp=1396 raw=8212
  [  81] stage\msel\msel-m-back1  type=0x58A15856 comp=1946 raw=13668
  [  82] stage\msel\msel-t-back01_BM_NOMIP  type=0x241F5DEB comp=51526 raw=524308
  [  83] stage\msel\msel-m-addfilter1  type=0x58A15856 comp=1752 raw=13132
  [  84] stage\msel\msel-t-back02_BM_NOMIP  type=0x241F5DEB comp=24385 raw=524308
  [  85] stage\msel\msel-m-addfilter2  type=0x58A15856 comp=1757 raw=13132
  [  86] stage\msel\mmsel\sdl\msel  type=0x4C0DB839 comp=1770 raw=6354
  [  87] stage\msel\mmsel\sdl\msel_msel  type=0x6246E90D comp=673 raw=2087
  [  88] stage\msel\motion\msel_msel  type=0x76820D81 comp=41023 raw=82924
  [  89] stage\msel\cla\msel_msel  type=0x340AD7F6 comp=248 raw=2344
  [  90] stage\msel\mmsel\msel_msel  type=0x280C9CB7 comp=1409 raw=88440
  [  91] stage\msel\mmsel\msel_msel  type=0x015D1B6B comp=1420 raw=4236
  [  92] stage\msel\\msel-t-rabbit0_BM_NOMIP_NOMIP  type=0x241F5DEB comp=13647 raw=262164
  [  93] stage\msel\\msel-t-moon0_AM_NOMIP  type=0x241F5DEB comp=5225 raw=131092
  [  94] stage\msel\\msel-t-moon1_BM_NOMIP  type=0x241F5DEB comp=99457 raw=262164
  [  95] stage\msel\\msel-t-moon2_BM_NOMIP  type=0x241F5DEB comp=76238 raw=1048596
  [  96] stage\msel\\msel-m-ksmoon  type=0x58A15856 comp=2390 raw=26840
  [  97] stage\msel\\msel-t-scrollbook2_BM  type=0x241F5DEB comp=139135 raw=349220
  [  98] stage\msel\\msel-t-scrollbook3_BM  type=0x241F5DEB comp=2088 raw=5144
  [  99] stage\msel\\msel-t-scrollbook0_AM  type=0x241F5DEB comp=1027 raw=10780
  [ 100] stage\msel\\msel-t-fude0_BM  type=0x241F5DEB comp=107529 raw=349220
  [ 101] stage\msel\\msel-t-fude1_AM_NOMIP  type=0x241F5DEB comp=17920 raw=131092
  [ 102] stage\msel\\msel-t-story0shadow0_BM_NOMIP  type=0x241F5DEB comp=117240 raw=262164
  [ 103] stage\msel\\msel-t-story0p1_AM_NOMIP  type=0x241F5DEB comp=15246 raw=131092
  [ 104] stage\msel\\msel-t-story0p2_AM_NOMIP  type=0x241F5DEB comp=20914 raw=131092
  [ 105] stage\msel\\msel-t-story0p3_AM_NOMIP  type=0x241F5DEB comp=19396 raw=131092
  [ 106] stage\msel\\msel-t-story0p4_AM_NOMIP  type=0x241F5DEB comp=20192 raw=131092
  [ 107] stage\msel\\msel-t-story0p5_AM_NOMIP  type=0x241F5DEB comp=16836 raw=131092
  [ 108] stage\msel\\msel-t-story0p6_AM_NOMIP  type=0x241F5DEB comp=14197 raw=131092
  [ 109] stage\msel\\msel-t-story0p7_AM_NOMIP  type=0x241F5DEB comp=15037 raw=131092
  [ 110] stage\msel\\msel-t-story0p8_AM_NOMIP  type=0x241F5DEB comp=17084 raw=131092
  [ 111] stage\msel\\msel-t-fude0_AM_NOMIP  type=0x241F5DEB comp=49420 raw=262164
  [ 112] stage\msel\\msel-t-scrollbook0_BM  type=0x241F5DEB comp=9214 raw=43552
  [ 113] stage\msel\\msel-t-scrollbook1_BM  type=0x241F5DEB comp=157060 raw=349220
  [ 114] stage\msel\\msel-t-story0p1_BM_NUKI_NOMIP  type=0x241F5DEB comp=139851 raw=1048596
  [ 115] stage\msel\\msel-t-story0p2_BM_NUKI_NOMIP  type=0x241F5DEB comp=159901 raw=1048596
  [ 116] stage\msel\\msel-t-story0p3_BM_NUKI_NOMIP  type=0x241F5DEB comp=157076 raw=1048596
  [ 117] stage\msel\\msel-t-story0p4_BM_NUKI_NOMIP  type=0x241F5DEB comp=214568 raw=1048596
  [ 118] stage\msel\\msel-t-story0p5_BM_NUKI_NOMIP  type=0x241F5DEB comp=154521 raw=1048596
  [ 119] stage\msel\\msel-t-story0p6_BM_NUKI_NOMIP  type=0x241F5DEB comp=125088 raw=1048596
  [ 120] stage\msel\\msel-t-story0p7_BM_NUKI_NOMIP  type=0x241F5DEB comp=142934 raw=1048596
  [ 121] stage\msel\\msel-t-story0p8_BM_NUKI_NOMIP  type=0x241F5DEB comp=160082 raw=1048596
  [ 122] stage\msel\\msel-e-storychara  type=0x58A15856 comp=93782 raw=694620
  [ 123] stage\msel\\msel-t-vsbuki03bg0_BM_NUKI  type=0x241F5DEB comp=540559 raw=1397800
  [ 124] stage\msel\\msel-t-vsbuki04bg0_AM_NOMIP  type=0x241F5DEB comp=2541 raw=65556
  [ 125] stage\msel\\msel-t-vsbuki01_BM_NUKI  type=0x241F5DEB comp=267844 raw=1397800
  [ 126] stage\msel\\msel-t-vsbuki01bg0_BM_NUKI  type=0x241F5DEB comp=574343 raw=1397800
  [ 127] stage\msel\\msel-t-vsbuki02_BM_NUKI  type=0x241F5DEB comp=67976 raw=698920
  [ 128] stage\msel\\msel-t-vsbuki02bg0_BM_NUKI  type=0x241F5DEB comp=345032 raw=698920
  [ 129] stage\msel\\msel-t-vsbuki03_BM_NUKI  type=0x241F5DEB comp=254864 raw=1397800
  [ 130] stage\msel\\msel-t-vsbuki05_BM_NUKI  type=0x241F5DEB comp=18936 raw=87072
  [ 131] stage\msel\\msel-t-vsbuki04_BM_NUKI  type=0x241F5DEB comp=67027 raw=174760
  [ 132] stage\msel\\msel-e-vsbuki  type=0x58A15856 comp=10076 raw=100824
  [ 133] stage\msel\\msel-t-back00_BM_NOMIP  type=0x241F5DEB comp=97168 raw=262164
  [ 134] stage\msel\\msel-m-null  type=0x58A15856 comp=1671 raw=12832
  [ 135] stage\msel\\msel-t-ttwind0_BM_NOMIP  type=0x241F5DEB comp=8314 raw=524308
  [ 136] stage\msel\\msel-t-ttwind0_AM_NOMIP  type=0x241F5DEB comp=6150 raw=131092
  [ 137] stage\msel\\msel-t-ttfude0_BM_NOMIP  type=0x241F5DEB comp=60302 raw=262164
  [ 138] stage\msel\\msel-t-ttfude0_AM_NOMIP  type=0x241F5DEB comp=2412 raw=131092
  [ 139] stage\msel\\msel-t-ttfude1_BM_NOMIP  type=0x241F5DEB comp=111214 raw=262164
  [ 140] stage\msel\\msel-t-ttkusa0_BM_NUKI_NOMIP  type=0x241F5DEB comp=56757 raw=131092
  [ 141] stage\msel\\msel-t-ttkusa0_AM_NOMIP  type=0x241F5DEB comp=2572 raw=65556
  [ 142] stage\msel\\msel-t-ttkusa5_BM_NUKI_NOMIP  type=0x241F5DEB comp=29451 raw=131092
  [ 143] stage\msel\\msel-t-ttkusa3_BM_NUKI_NOMIP  type=0x241F5DEB comp=35531 raw=131092
  [ 144] stage\msel\\msel-t-ttkusa1_BM_NUKI_NOMIP  type=0x241F5DEB comp=45083 raw=131092
  [ 145] stage\msel\\msel-t-tthorse0_BM_NUKI_NOMIP  type=0x241F5DEB comp=230723 raw=1048596
  [ 146] stage\msel\\msel-t-ttflag0_BM_NUKI  type=0x241F5DEB comp=28684 raw=1397800
  [ 147] stage\msel\\msel-e-ttuma  type=0x58A15856 comp=10503 raw=185324
  [ 148] stage\msel\\msel-t-gate_BM  type=0x241F5DEB comp=10740 raw=21532
  [ 149] stage\msel\\msel-t-kscastle0_BM_NOMIP  type=0x241F5DEB comp=27666 raw=65556
  [ 150] stage\msel\\msel-t-kscastle0_AM_NOMIP  type=0x241F5DEB comp=63122 raw=524308
  [ 151] stage\msel\\msel-t-isigaki2_BM  type=0x241F5DEB comp=22874 raw=43552
  [ 152] stage\msel\\msel-t-jouheki_BM  type=0x241F5DEB comp=9709 raw=21532
  [ 153] stage\msel\\msel-t-kawara_BM  type=0x241F5DEB comp=10643 raw=21532
  [ 154] stage\msel\\msel-t-tenjou_BM  type=0x241F5DEB comp=2217 raw=5144
  [ 155] stage\msel\\msel-t-syachi_BM_NUKI  type=0x241F5DEB comp=8755 raw=21532
  [ 156] stage\msel\\msel-m-tenshu0  type=0x58A15856 comp=76404 raw=198808
  [ 157] stage\msel\\msel-t-cloud0f0_BM_NOMIP  type=0x241F5DEB comp=7346 raw=16404
  [ 158] stage\msel\\msel-t-cloud0_AM_NOMIP  type=0x241F5DEB comp=3409 raw=131092
  [ 159] stage\msel\\msel-t-cloud0f1_BM_NOMIP  type=0x241F5DEB comp=8030 raw=16404
  [ 160] stage\msel\\msel-t-cloud0f2_BM_NOMIP  type=0x241F5DEB comp=8117 raw=16404
  [ 161] stage\msel\\msel-m-gallerycloud0  type=0x58A15856 comp=4051 raw=64488
  [ 162] stage\msel\\msel-t-kssakura0tip0_BM_NUKI_NOMIP  type=0x241F5DEB comp=5859 raw=16404
  [ 163] stage\msel\\msel-t-kssakura0tip0b_BM_NUKI_NOMIP  type=0x241F5DEB comp=5421 raw=16404
  [ 164] stage\msel\\msel-t-kssakura0tip0_AM_NOMIP  type=0x241F5DEB comp=3863 raw=16404
  [ 165] stage\msel\\msel-t-kssakura0tip1_BM_NUKI_NOMIP  type=0x241F5DEB comp=5744 raw=16404
  [ 166] stage\msel\\msel-t-kssakura0tip1b_BM_NUKI_NOMIP  type=0x241F5DEB comp=5669 raw=16404
  [ 167] stage\msel\\msel-t-kssakura0tip2_BM_NUKI_NOMIP  type=0x241F5DEB comp=5519 raw=16404
  [ 168] stage\msel\\msel-t-kssakura0tip2b_BM_NUKI_NOMIP  type=0x241F5DEB comp=5588 raw=16404
  [ 169] stage\msel\\msel-t-kssakuraset0_BM_NUKI_NOMIP  type=0x241F5DEB comp=36842 raw=131092
  [ 170] stage\msel\\msel-t-kstree0_BM_NUKI_NOMIP  type=0x241F5DEB comp=45426 raw=262164
  [ 171] stage\msel\\msel-m-kssakura0  type=0x58A15856 comp=12632 raw=82396
  [ 172] stage\msel\\msel-t-yugi0cloud0_BM_NOMIP  type=0x241F5DEB comp=26997 raw=65556
  [ 173] stage\msel\\msel-t-yugi0cloud0_AM_NOMIP  type=0x241F5DEB comp=2001 raw=65556
  [ 174] stage\msel\\msel-t-yugi0cloud2_AM_NOMIP  type=0x241F5DEB comp=9192 raw=262164
  [ 175] stage\msel\\msel-t-yugi0cloud1_BM_NOMIP  type=0x241F5DEB comp=31738 raw=65556
  [ 176] stage\msel\\msel-t-yugi0cloud2_BM_NOMIP  type=0x241F5DEB comp=23022 raw=65556
  [ 177] stage\msel\\msel-t-yugi0enc0_BM_NOMIP  type=0x241F5DEB comp=361000 raw=1048596
  [ 178] stage\msel\\msel-t-fuji0_BM_NUKI_NOMIP  type=0x241F5DEB comp=137107 raw=524308
  [ 179] stage\msel\\msel-t-matsu0_BM_NUKI_NOMIP  type=0x241F5DEB comp=121537 raw=1048596
  [ 180] stage\msel\\msel-t-matsu0tip0_BM_NUKI_NOMIP  type=0x241F5DEB comp=10878 raw=32788
  [ 181] stage\msel\\msel-t-matsu0tip1_BM_NUKI_NOMIP  type=0x241F5DEB comp=10975 raw=32788
  [ 182] stage\msel\\msel-t-matsu0tip2_BM_NUKI_NOMIP  type=0x241F5DEB comp=10842 raw=32788
  [ 183] stage\msel\\msel-t-yugi0mt0_BM_NUKI_NOMIP  type=0x241F5DEB comp=10696 raw=32788
  [ 184] stage\msel\\msel-m-yugi0bg0  type=0x58A15856 comp=14907 raw=143964
  [ 185] stage\msel\\msel-t-setting03_BM_NUKI_NOMIP  type=0x241F5DEB comp=8501 raw=65556
  [ 186] stage\msel\\msel-e-kshana1  type=0x58A15856 comp=1742 raw=13300
  [ 187] stage\msel\\msel-t-setting02_BM_NUKI_NOMIP  type=0x241F5DEB comp=9200 raw=65556
  [ 188] stage\msel\\msel-e-kshana2  type=0x58A15856 comp=1741 raw=13300
  [ 189] stage\msel\\msel-t-setting05_BM_NUKI_NOMIP  type=0x241F5DEB comp=20695 raw=65556
  [ 190] stage\msel\\msel-e-kshana3  type=0x58A15856 comp=1734 raw=13300
  [ 191] stage\msel\\msel-t-cloud1_BM_NUKI_NOMIP  type=0x241F5DEB comp=17291 raw=1048596
  [ 192] stage\msel\\msel-m-gallerycloud1  type=0x58A15856 comp=3837 raw=63768
  [ 193] stage\msel\\msel-t-bridge0_BM  type=0x241F5DEB comp=89720 raw=174628
  [ 194] stage\msel\\msel-t-bridge0_LM_NOMIP  type=0x241F5DEB comp=17077 raw=65556
  [ 195] stage\msel\\msel-t-bridge1_BM  type=0x241F5DEB comp=39860 raw=87072
  [ 196] stage\msel\\msel-m-bridge0  type=0x58A15856 comp=75944 raw=238492
  [ 197] stage\msel\\msel-t-takarafune0_BM_NUKI_NOMIP  type=0x241F5DEB comp=65957 raw=131092
  [ 198] stage\msel\\msel-t-takarafune2_BM_NOMIP  type=0x241F5DEB comp=109141 raw=262164
  [ 199] stage\msel\\msel-t-takarafune0_AM_NOMIP  type=0x241F5DEB comp=22581 raw=131092
  [ 200] stage\msel\\msel-t-takarafune1_BM_NOMIP  type=0x241F5DEB comp=121541 raw=262164
  [ 201] stage\msel\\msel-t-sigen0_BM_NUKI_NOMIP  type=0x241F5DEB comp=34074 raw=131092
  [ 202] stage\msel\\msel-t-gal0wave0_BM_NUKI_NOMIP  type=0x241F5DEB comp=32681 raw=131092
  [ 203] stage\msel\\msel-t-gal0wave0_AM_NOMIP  type=0x241F5DEB comp=1607 raw=65556
  [ 204] stage\msel\\msel-t-gal0wave1_BM_NUKI_NOMIP  type=0x241F5DEB comp=250391 raw=1048596
  [ 205] stage\msel\\msel-e-gallery  type=0x58A15856 comp=51601 raw=182532
  [ 206] stage\msel\\msel-t-vs0kusa0_BM_NUKI_NOMIP  type=0x241F5DEB comp=7680 raw=131092
  [ 207] stage\msel\\msel-t-vs0fude0_AM_NOMIP  type=0x241F5DEB comp=1122 raw=32788
  [ 208] stage\msel\\msel-t-vs0bambooset0_BM_NOMIP_NUKI  type=0x241F5DEB comp=179169 raw=1048596
  [ 209] stage\msel\\msel-t-vs0bambooset1_BM_NOMIP_NUKI  type=0x241F5DEB comp=172112 raw=1048596
  [ 210] stage\msel\\msel-e-vs0bg0  type=0x58A15856 comp=7495 raw=54760
  [ 211] stage\msel\\msel-t-vs0sasa0_BM_NUKI_NOMIP  type=0x241F5DEB comp=39208 raw=262164
  [ 212] stage\msel\\msel-t-vs0sasa1_BM_NUKI_NOMIP  type=0x241F5DEB comp=30427 raw=262164
  [ 213] stage\msel\\msel-t-vs0sasa2_BM_NOMIP_NUKI  type=0x241F5DEB comp=14570 raw=65556
  [ 214] stage\msel\\msel-m-vs0sasa0  type=0x58A15856 comp=4215 raw=30792
  [ 215] stage\msel\\msel-t-waterweed0_BM_NUKI_NOMIP  type=0x241F5DEB comp=72262 raw=131092
  [ 216] stage\msel\\msel-e-waterweed0  type=0x58A15856 comp=2112 raw=15016
  [ 217] stage\msel\\msel-t-free0back0_BM_NUKI_NOMIP  type=0x241F5DEB comp=86140 raw=262164
  [ 218] stage\msel\\msel-t-free0back1_BM_NUKI_NOMIP  type=0x241F5DEB comp=86445 raw=262164
  [ 219] stage\msel\\msel-t-free0kusa0_BM_NUKI_NOMIP  type=0x241F5DEB comp=81393 raw=524308
  [ 220] stage\msel\\msel-m-free0bg0  type=0x58A15856 comp=3782 raw=29596
  [ 221] stage\msel\\msel-t-kaleidoscope0_BM  type=0x241F5DEB comp=138659 raw=349220
  [ 222] stage\msel\\msel-m-kaleidscope0  type=0x58A15856 comp=2160 raw=14948
  [ 223] stage\msel\\msel-t-gal0fude0_BM_NOMIP  type=0x241F5DEB comp=69412 raw=262164
  [ 224] stage\msel\\msel-m-gallery0fude0  type=0x58A15856 comp=2144 raw=14452
  [ 225] id\texture\jpn\charasele_01\charasele_01_000_ID_HQ  type=0x241F5DEB comp=249988 raw=1048596
  [ 226] id\texture\jpn\charasele_01\charasele_01_001_ID_HQ  type=0x241F5DEB comp=255408 raw=1048596
  [ 227] id\texture\jpn\charasele_01\charasele_01_002_ID_HQ  type=0x241F5DEB comp=178552 raw=1048596
  [ 228] id\texture\jpn\charasele_01\charasele_01_003_ID_HQ  type=0x241F5DEB comp=240876 raw=1048596
  [ 229] id\texture\jpn\charasele_01\charasele_01_004_ID_HQ  type=0x241F5DEB comp=212396 raw=1048596
  [ 230] id\texture\jpn\charasele_01\charasele_01_005_ID_HQ  type=0x241F5DEB comp=275298 raw=1048596
  [ 231] id\texture\jpn\charasele_01\charasele_01_006_ID_HQ  type=0x241F5DEB comp=400819 raw=1048596
  [ 232] id\texture\jpn\charasele_01\charasele_01_007_ID_HQ  type=0x241F5DEB comp=169201 raw=1048596
  [ 233] id\texture\jpn\charasele_01\charasele_01_008_ID_HQ  type=0x241F5DEB comp=203857 raw=1048596
  [ 234] id\texture\jpn\charasele_01\charasele_01_009_ID_HQ  type=0x241F5DEB comp=372814 raw=1048596
  [ 235] id\texture\jpn\charasele_01\charasele_01_010_ID_HQ  type=0x241F5DEB comp=342355 raw=1048596
  [ 236] id\texture\jpn\charasele_01\charasele_01_011_ID_HQ  type=0x241F5DEB comp=317824 raw=1048596
  [ 237] id\texture\jpn\charasele_01\charasele_01_012_ID_HQ  type=0x241F5DEB comp=503811 raw=1048596
  [ 238] id\texture\jpn\charasele_01\charasele_01_013_ID_HQ  type=0x241F5DEB comp=267412 raw=1048596
  [ 239] id\texture\jpn\charasele_01\charasele_01_014_ID_HQ  type=0x241F5DEB comp=435002 raw=1048596
  [ 240] id\texture\jpn\charasele_01\charasele_01_015_ID_HQ  type=0x241F5DEB comp=554567 raw=1048596
  [ 241] id\texture\jpn\charasele_01\charasele_01_016_ID_HQ  type=0x241F5DEB comp=395163 raw=1048596
  [ 242] id\texture\jpn\charasele_01\charasele_01_017_ID_HQ  type=0x241F5DEB comp=191308 raw=1048596
  [ 243] id\texture\jpn\charasele_01\charasele_01_018_ID_HQ  type=0x241F5DEB comp=278473 raw=1048596
  [ 244] id\texture\jpn\charasele_01\charasele_01_019_ID_HQ  type=0x241F5DEB comp=192254 raw=1048596
  [ 245] id\texture\jpn\charasele_01\charasele_01_020_ID_HQ  type=0x241F5DEB comp=275715 raw=1048596
  [ 246] id\texture\jpn\charasele_01\charasele_01_021_ID_HQ  type=0x241F5DEB comp=172783 raw=1048596
  [ 247] id\texture\jpn\charasele_01\charasele_01_022_ID_HQ  type=0x241F5DEB comp=231720 raw=1048596
  [ 248] id\texture\jpn\charasele_01\charasele_01_023_ID_HQ  type=0x241F5DEB comp=247404 raw=1048596
  [ 249] id\texture\jpn\charasele_01\charasele_01_024_ID_HQ  type=0x241F5DEB comp=173033 raw=1048596
  [ 250] id\texture\jpn\charasele_01\charasele_01_025_ID_HQ  type=0x241F5DEB comp=250561 raw=1048596
  [ 251] id\texture\jpn\charasele_01\charasele_01_026_ID_HQ  type=0x241F5DEB comp=332863 raw=1048596
  [ 252] id\texture\jpn\charasele_01\charasele_01_027_ID_HQ  type=0x241F5DEB comp=294364 raw=1048596
  [ 253] id\texture\jpn\charasele_01\charasele_01_028_ID_HQ  type=0x241F5DEB comp=223857 raw=1048596
  [ 254] id\texture\jpn\charasele_01\charasele_01_029_ID_HQ  type=0x241F5DEB comp=183730 raw=1048596
  [ 255] id\texture\jpn\charasele_02\charasele_02_000_ID_HQ  type=0x241F5DEB comp=3374 raw=131092
  [ 256] id\texture\jpn\charasele_02\charasele_02_001_ID_HQ  type=0x241F5DEB comp=2953 raw=131092
  [ 257] id\texture\jpn\charasele_02\charasele_02_002_ID_HQ  type=0x241F5DEB comp=2986 raw=131092
  [ 258] id\texture\jpn\charasele_02\charasele_02_003_ID_HQ  type=0x241F5DEB comp=3326 raw=131092
  [ 259] id\texture\jpn\charasele_02\charasele_02_004_ID_HQ  type=0x241F5DEB comp=3751 raw=131092
  [ 260] id\texture\jpn\charasele_02\charasele_02_005_ID_HQ  type=0x241F5DEB comp=3538 raw=131092
  [ 261] id\texture\jpn\charasele_02\charasele_02_006_ID_HQ  type=0x241F5DEB comp=3587 raw=131092
  [ 262] id\texture\jpn\charasele_02\charasele_02_007_ID_HQ  type=0x241F5DEB comp=3242 raw=131092
  [ 263] id\texture\jpn\charasele_02\charasele_02_008_ID_HQ  type=0x241F5DEB comp=3336 raw=131092
  [ 264] id\texture\jpn\charasele_02\charasele_02_009_ID_HQ  type=0x241F5DEB comp=3422 raw=131092
  [ 265] id\texture\jpn\charasele_02\charasele_02_010_ID_HQ  type=0x241F5DEB comp=3470 raw=131092
  [ 266] id\texture\jpn\charasele_02\charasele_02_011_ID_HQ  type=0x241F5DEB comp=3061 raw=131092
